date,indicator,value
2024-01-01,UNEMPLOYMENT,3.7
2024-02-01,UNEMPLOYMENT,3.9
2024-03-01,UNEMPLOYMENT,3.9
2024-04-01,UNEMPLOYMENT,3.9
2024-05-01,UNEMPLOYMENT,4.0
2024-06-01,UNEMPLOYMENT,4.1
2024-07-01,UNEMPLOYMENT,4.2
2024-08-01,UNEMPLOYMENT,4.2
2024-09-01,UNEMPLOYMENT,4.1
2024-10-01,UNEMPLOYMENT,4.1
2024-11-01,UNEMPLOYMENT,4.2
2024-12-01,UNEMPLOYMENT,4.1
2025-01-01,UNEMPLOYMENT,4.0
2025-02-01,UNEMPLOYMENT,4.1
2025-03-01,UNEMPLOYMENT,4.2
2025-04-01,UNEMPLOYMENT,4.2
2025-05-01,UNEMPLOYMENT,4.2
2025-06-01,UNEMPLOYMENT,4.1
2025-07-01,UNEMPLOYMENT,4.2
2025-08-01,UNEMPLOYMENT,4.3
2025-09-01,UNEMPLOYMENT,4.4
