date,symbol,asset_type,open,high,low,close,volume
2024-01-02,GLD,equity,191.44,191.89,190.5,190.72,6025646.0
2024-01-03,GLD,equity,188.77,189.86,188.16,189.13,8661568.0
2024-01-04,GLD,equity,189.08,189.75,188.69,189.32,4416743.0
2024-01-05,GLD,equity,189.68,191.26,189.08,189.35,7421774.0
2024-01-08,GLD,equity,187.21,188.74,187.11,187.87,6214968.0
2024-01-09,GLD,equity,188.68,188.78,187.73,187.93,4437269.0
2024-01-10,GLD,equity,188.14,188.44,187.205,187.5,4504726.0
2024-01-11,GLD,equity,188.02,188.55,186.56,187.87,6831086.0
2024-01-12,GLD,equity,190.67,191.08,189.16,189.71,6833678.0
2024-01-16,GLD,equity,189.15,189.26,187.54,187.91,6548068.0
2024-01-17,GLD,equity,187.31,187.42,185.45,185.84,8643163.0
2024-01-18,GLD,equity,186.36,187.4,186.3,187.37,4685239.0
2024-01-19,GLD,equity,188.26,188.3,187.44,187.93,5719650.0
2024-01-22,GLD,equity,187.23,187.7601,186.85,187.22,4397522.0
2024-01-23,GLD,equity,187.45,188.15,187.28,187.95,5040771.0
2024-01-24,GLD,equity,188.33,188.37,186.32,186.4,5935310.0
2024-01-25,GLD,equity,187.34,187.64,186.46,187.14,4651026.0
2024-01-26,GLD,equity,187.27,187.38,186.76,187.01,5064774.0
2024-01-29,GLD,equity,188.31,188.54,187.1899,188.33,5629695.0
2024-01-30,GLD,equity,189.7,189.83,187.975,188.59,4976467.0
2024-01-31,GLD,equity,189.37,190.46,188.13,188.45,7886115.0
2024-02-01,GLD,equity,189.71,191.36,188.99,190.41,10278129.0
2024-02-02,GLD,equity,188.07,188.87,187.85,188.61,7337573.0
2024-02-05,GLD,equity,186.875,187.82,186.7,187.57,5436062.0
2024-02-06,GLD,equity,187.94,188.854,187.742,188.55,4866122.0
2024-02-07,GLD,equity,188.45,189.39,188.28,188.5,6276879.0
2024-02-08,GLD,equity,187.91,188.5298,187.8199,188.33,3873445.0
2024-02-09,GLD,equity,187.56,187.77,187.14,187.6,4412654.0
2024-02-12,GLD,equity,186.6,187.27,186.36,187.11,4706253.0
2024-02-13,GLD,equity,185.35,185.38,184.33,184.53,9525794.0
2024-02-14,GLD,equity,184.27,184.88,183.78,184.42,7031562.0
2024-02-15,GLD,equity,185.6,186.02,185.095,185.66,6228859.0
2024-02-16,GLD,equity,185.076,186.67,184.835,186.34,6518526.0
2024-02-20,GLD,equity,187.96,188.03,187.4,187.47,5531152.0
2024-02-21,GLD,equity,187.88,188.04,187.1,187.48,5789951.0
2024-02-22,GLD,equity,187.56,187.64,187.05,187.56,4550823.0
2024-02-23,GLD,equity,187.56,189.18,187.46,188.62,6827271.0
2024-02-26,GLD,equity,187.79,188.36,187.53,188.2,4491937.0
2024-02-27,GLD,equity,188.58,188.72,187.88,188.0,5165376.0
2024-02-28,GLD,equity,188.34,188.52,188.0301,188.34,2824131.0
2024-02-29,GLD,equity,189.64,189.918,189.23,189.31,6848639.0
2024-03-01,GLD,equity,190.27,193.4,189.44,192.89,13410997.0
2024-03-04,GLD,equity,194.15,196.3299,193.88,196.01,12216341.0
2024-03-05,GLD,equity,197.44,198.14,196.65,197.19,9672210.0
2024-03-06,GLD,equity,198.08,199.3,197.44,198.81,10459292.0
2024-03-07,GLD,equity,199.54,200.11,198.91,199.94,8403737.0
2024-03-08,GLD,equity,200.89,203.3,200.4459,201.63,13540110.0
2024-03-11,GLD,equity,201.71,202.41,201.46,202.0,7136184.0
2024-03-12,GLD,equity,200.42,200.6277,199.16,199.79,9362953.0
2024-03-13,GLD,equity,200.44,201.86,200.35,201.19,5625501.0
2024-03-14,GLD,equity,200.37,200.47,199.34,200.35,6845201.0
2024-03-15,GLD,equity,199.94,200.634,199.57,199.71,4556710.0
2024-03-18,GLD,equity,199.66,200.145,199.51,200.03,7206823.0
2024-03-19,GLD,equity,199.62,199.81,198.935,199.8,4657527.0
2024-03-20,GLD,equity,199.16,202.66,199.12,202.18,9593754.0
2024-03-21,GLD,equity,203.88,203.92,200.6,201.97,7396540.0
2024-03-22,GLD,equity,201.32,201.86,199.715,200.35,6918508.0
2024-03-25,GLD,equity,201.19,201.95,200.965,200.99,4034750.0
2024-03-26,GLD,equity,202.65,202.76,201.07,201.64,5752677.0
2024-03-27,GLD,equity,202.32,203.22,202.32,203.1,6040980.0
2024-03-28,GLD,equity,204.54,206.05,203.87,205.72,9194473.0
2024-04-01,GLD,equity,208.68,208.73,206.29,207.82,13455629.0
2024-04-02,GLD,equity,209.07,211.03,208.36,210.89,13312934.0
2024-04-03,GLD,equity,210.57,212.83,210.3,212.74,10537858.0
2024-04-04,GLD,equity,212.0,213.45,211.02,211.52,12212708.0
